title,rating,price_gbp
Sharp Objects,4,47.82
Sapiens: A Brief History of Humankind,5,54.23
The Dirty Little Secrets of Getting Your Dream Job,4,33.34
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6
Shakespeare's Sonnets,4,20.66
Set Me Free,5,17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29
Rip it Up and Start Again,5,35.02
Chase Me (Paris Nights #2),5,25.27
Black Dust,5,34.53
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,40.3
Wall and Piece,4,44.18
The Four Agreements: A Practical Guide to Personal Freedom,5,17.66
The Elephant Tree,5,23.82
Sophie's World,5,15.94
Behind Closed Doors,4,52.22
Private Paris (Private #10),5,47.61
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11
"We Love You, Charlie Freeman",5,50.27
Untitled Collection: Sabbath Poems 2014,4,14.27
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18
This One Summer,4,19.49
Thirst,5,17.27
The Past Never Ends,4,56.5
The Nameless City (The Nameless City #1),4,38.16
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,42.96
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,23.89
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59
The Death of Humanity: and the Case for Life,4,58.11
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,41.83
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61
Princess Between Worlds (Wide-Awake Princess #5),5,13.34
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,15.44
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,14.02
Join,5,35.67
In the Country We Love: My Family Divided,4,22.0
